season,date,team1,team2,average_age,points_last_season,points_this_season,rank_last_season,squad,total_market_value_in_euro,result_team1
2019,2019-11-09,Mainz,1. FC Union Berlin,0.24418604651162804,0.5504652827487473,0.4915254237288136,0.275,0.5277777777777778,0.563395629834566,0
2019,2019-11-09,SC Paderborn,FC Augsburg,0.5,0.49677881173944166,0.4745762711864407,0.625,0.3611111111111111,0.43943312065947715,0
2019,2019-11-09,Hertha Berlin,RB Leipzig,0.6511627906976745,0.5032211882605583,0.4406779661016949,0.7,0.6111111111111112,0.3437411777991079,0
2019,2019-11-09,Bayern Munich,Borussia Dortmund,0.40697674418604646,0.5211166785969936,0.5423728813559322,0.475,0.5277777777777778,0.6246118231607476,2
2019,2019-11-10,VfL Wolfsburg,Bayer Leverkusen,0.4418604651162791,0.5175375805297066,0.5169491525423728,0.55,0.75,0.3844785726384733,0
2019,2019-11-10,Borussia Monchengladbach,Werder Bremen,0.4651162790697674,0.5211166785969936,0.6440677966101694,0.425,0.4444444444444444,0.5333239229857151,2
2019,2019-11-10,SC Freiburg,Eintracht Frankfurt,0.43023255813953515,0.5068002863278454,0.559322033898305,0.65,0.3611111111111111,0.42890294167466547,2
2019,2019-11-22,Borussia Dortmund,SC Paderborn,0.39534883720930253,0.5695538057742782,0.652542372881356,0.05,0.6388888888888888,0.8753881768392524,1
2019,2019-11-23,Eintracht Frankfurt,VfL Wolfsburg,0.6976744186046511,0.5190288713910761,0.5,0.525,0.4166666666666667,0.5060696742137655,0
2019,2019-11-23,RB Leipzig,FC Cologne,0.2325581395348837,0.562992125984252,0.6694915254237288,0.1,0.5833333333333334,0.7512280503641805,2
2019,2019-11-23,1. FC Union Berlin,Borussia Monchengladbach,0.5348837209302326,0.48359580052493434,0.4491525423728814,0.9,0.5,0.37538817683925246,2
2019,2019-11-23,Fortuna Düsseldorf,Bayern Munich,0.7906976744186046,0.4973753280839895,0.4152542372881356,0.725,0.4722222222222222,0.039551691039467,0
2019,2019-11-23,Bayer Leverkusen,SC Freiburg,0.4302325581395347,0.5341207349081365,0.5,0.275,0.4722222222222222,0.6805488114730959,1
2019,2019-11-23,Werder Bremen,Schalke 04,0.7325581395348837,0.5328083989501313,0.4322033898305085,0.35,0.5833333333333334,0.49333747388628535,0
2019,2019-11-24,TSG Hoffenheim,Mainz,0.7790697674418603,0.5249343832020997,0.5932203389830508,0.425,0.5555555555555556,0.5787646095646773,0
2019,2019-11-24,FC Augsburg,Hertha Berlin,0.6279069767441858,0.5124671916010498,0.5423728813559322,0.6,0.3611111111111111,0.41434701597877027,2
2019,2019-11-29,Schalke 04,1. FC Union Berlin,0.2674418604651163,0.5396729254996971,0.6016949152542372,0.325,0.4722222222222222,0.5979504262887471,2
2019,2019-11-30,Bayern Munich,Bayer Leverkusen,0.32558139534883723,0.5317989097516657,0.5423728813559322,0.425,0.75,0.7658122071029304,0
2019,2019-11-30,Hertha Berlin,Borussia Dortmund,0.4767441860465117,0.4996971532404603,0.423728813559322,0.725,0.6388888888888888,0.2708316865225001,0
2019,2019-11-30,FC Cologne,FC Augsburg,0.48837209302325607,0.5003028467595397,0.4745762711864407,0.6,0.4444444444444444,0.4906837558579414,1
2019,2019-11-30,SC Paderborn,RB Leipzig,0.7790697674418603,0.4797092671108419,0.3389830508474576,0.925,0.3333333333333333,0.19752131443735532,0
2019,2019-11-30,TSG Hoffenheim,Fortuna Düsseldorf,0.5232558139534883,0.5239248940036341,0.6016949152542372,0.475,0.5,0.6105527638190955,1
2019,2019-12-01,Borussia Monchengladbach,SC Freiburg,0.511627906976744,0.5311932162325863,0.576271186440678,0.3,0.6111111111111112,0.5789170571960929,2
2019,2019-12-01,VfL Wolfsburg,Werder Bremen,0.32558139534883723,0.5208964264082375,0.576271186440678,0.45,0.5555555555555556,0.5194342499011914,0
2019,2019-12-02,Mainz,Eintracht Frankfurt,0.22093023255813973,0.513022410660206,0.5084745762711864,0.625,0.5,0.4466038055445768,2
2019,2019-12-06,Eintracht Frankfurt,Hertha Berlin,0.7441860465116276,0.5258717660292463,0.576271186440678,0.4,0.3055555555555556,0.4785161763875558,1
2019,2019-12-07,SC Freiburg,VfL Wolfsburg,0.6279069767441862,0.5089988751406074,0.5677966101694916,0.675,0.2777777777777778,0.4349726158884309,2
2019,2019-12-07,Borussia Monchengladbach,Bayern Munich,0.755813953488372,0.5067491563554556,0.5847457627118644,0.6,0.3888888888888889,0.13255603862006662,2
2019,2019-12-07,Bayer Leverkusen,Schalke 04,0.6162790697674418,0.5337457817772779,0.5254237288135594,0.25,0.3888888888888889,0.6282931511490034,2
2019,2019-12-07,FC Augsburg,Mainz,0.6627906976744184,0.5134983127109111,0.5423728813559322,0.575,0.5555555555555556,0.4892270340466377,2
2019,2019-12-07,RB Leipzig,TSG Hoffenheim,0.1046511627906979,0.5281214848143981,0.6016949152542372,0.35,0.5277777777777778,0.6523742307040822,2
2019,2019-12-07,Borussia Dortmund,Fortuna Düsseldorf,0.30232558139534893,0.5376827896512937,0.6440677966101694,0.3,0.5,0.8358364857997854,2
2019,2019-12-08,1. FC Union Berlin,FC Cologne,0.6046511627906975,0.5196850393700787,0.6186440677966102,0.55,0.4722222222222222,0.4566935802608548,2
2019,2019-12-08,Werder Bremen,SC Paderborn,0.5930232558139535,0.5494938132733409,0.576271186440678,0.2,0.6111111111111112,0.5992321156343515,0
2019,2019-12-13,TSG Hoffenheim,FC Augsburg,0.6162790697674418,0.5296587926509186,0.5338983050847458,0.35,0.5,0.5895375755180396,0
2019,2019-12-14,Fortuna Düsseldorf,RB Leipzig,0.8720930232558138,0.5081364829396325,0.3474576271186441,0.675,0.4722222222222222,0.2370730054768223,0
2019,2019-12-14,Hertha Berlin,SC Freiburg,0.32558139534883723,0.5233595800524935,0.4406779661016949,0.45,0.8333333333333334,0.5925808819377788,2
2019,2019-12-14,SC Paderborn,1. FC Union Berlin,0.40697674418604646,0.5196850393700787,0.4322033898305085,0.475,0.4444444444444444,0.49205578454068094,1
2019,2019-12-14,FC Cologne,Bayer Leverkusen,0.5116279069767443,0.48923884514435695,0.4067796610169492,0.875,0.6666666666666666,0.3170628423013946,2
2019,2019-12-14,Mainz,Borussia Dortmund,0.4418604651162791,0.5023622047244094,0.4067796610169492,0.75,0.4444444444444444,0.19595166845463272,0
2019,2019-12-14,Bayern Munich,Werder Bremen,0.2093023255813954,0.5328083989501313,0.635593220338983,0.325,0.5555555555555556,0.9007678843656485,2
2019,2019-12-15,Schalke 04,Eintracht Frankfurt,0.24418604651162804,0.5086614173228347,0.6101694915254238,0.675,0.4444444444444444,0.4811586019987578,2
2019,2019-12-15,VfL Wolfsburg,Borussia Monchengladbach,0.36046511627906985,0.5196850393700787,0.4576271186440678,0.525,0.6111111111111112,0.48611032691547623,2
